"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"101","RNeo4j","nicolewhite","2014-05-08","2015-09-01",83,26,NA,"Other","2014"
"102","data-baby-names","hadley","2009-05-15","2009-10-21",83,50,NA,"Other","2009"
"103","MathematicsBiostatisticsBootCamp2","bcaffo","2013-01-28","2013-11-12",82,205,NA,"Other","2013"
"104","R6","wch","2014-05-07","2015-08-19",82,16,"2015-08-19","CRAN","2014"
"105","stationaRy","rich-iannone","2013-11-21","2015-08-22",80,9,"2015-06-23","CRAN","2013"
"106","RGoogleAnalytics","Tatvic","2014-05-14","2015-06-21",80,57,"2014-08-16","CRAN","2014"
"107","ML-Email-Code","drewconway","2011-11-14","2012-01-19",79,32,NA,"Other","2011"
"108","dagdata","genomicsclass","2015-01-13","2015-08-26",78,288,NA,"Other","2015"
"109","staticdocs","hadley","2012-03-15","2015-08-28",78,36,NA,"Other","2012"
"110","theBioBucket-Archives","gimoya","2011-12-08","2015-04-10",76,62,NA,"Other","2011"
"111","baseball_R","maxtoki","2013-03-17","2015-01-08",75,98,NA,"Other","2013"
"112","covr","jimhester","2014-12-21","2015-08-29",75,24,"2015-06-25","CRAN","2014"
"113","meme","leeper","2014-06-15","2015-04-25",75,7,NA,"Other","2014"
"114","PivotalR","pivotalsoftware","2013-05-01","2015-08-05",75,29,"2015-01-03","CRAN","2013"
"115","Bioinformatics-Training","PacificBiosciences","2013-01-02","2015-06-09",74,28,NA,"Other","2013"
"116","Elements-of-Statistical-Learning","ajtulloch","2012-04-02","2013-11-10",74,35,NA,"Other","2012"
"117","foodborne_classifier","corynissen","2013-04-23","2014-02-04",74,68,NA,"Other","2013"
"118","rio","leeper","2015-02-23","2015-07-01",73,7,"2015-05-07","CRAN","2015"
"119","likert","jbryer","2012-05-04","2015-05-05",72,39,"2014-10-17","CRAN","2012"
"120","cranvas","ggobi","2010-12-16","2015-03-13",71,15,NA,"Other","2010"
"121","phyloseq","joey711","2011-08-11","2015-08-20",71,33,NA,"Other","2011"
"122","titanic","trevorstephens","2014-01-10","2014-01-19",71,138,"2015-08-31","CRAN","2014"
"123","R-Tutorials","JulianHill","2013-09-19","2014-10-13",70,77,NA,"Other","2013"
"124","caretEnsemble","zachmayer","2013-03-01","2015-08-12",70,30,"2015-01-16","CRAN","2013"
"125","rpivotTable","smartinsightsfromdata","2015-01-19","2015-07-11",69,15,NA,"Other","2015"
"126","formatR","yihui","2010-11-16","2015-04-30",68,17,"2015-04-21","CRAN","2010"
"127","doconce","hplgit","2013-08-11","2015-08-31",68,9,NA,"Other","2013"
"128","spacetime-vis","oscarperpinan","2012-06-01","2015-05-12",68,50,NA,"Other","2012"
"129","formattable","renkun-ken","2015-04-02","2015-08-24",67,9,NA,"Other","2015"
"130","animint","tdhock","2013-02-25","2015-08-31",67,23,NA,"Other","2013"
"131","TeachingMaterial","lgatto","2013-05-10","2015-03-30",66,29,NA,"Other","2013"
"132","rex","kevinushey","2014-09-23","2015-07-16",66,6,"2015-04-28","CRAN","2014"
"133","shinystan","stan-dev","2015-02-25","2015-08-31",66,15,"2015-08-10","CRAN","2015"
"134","shinyAce","trestletech","2013-10-11","2015-06-29",65,12,"2013-11-05","CRAN","2013"
"135","extrafont","wch","2012-05-17","2014-12-08",64,15,"2014-12-08","CRAN","2012"
"136","ggnet","briatte","2013-06-08","2015-09-01",64,10,NA,"Other","2013"
"137","reports","trinker","2013-02-18","2015-07-03",64,13,"2014-12-21","CRAN","2013"
"138","quanteda","kbenoit","2012-08-15","2015-08-27",64,12,"2015-08-18","CRAN","2012"
"139","WikiLeaks_Analysis","drewconway","2010-08-01","2011-03-09",63,9,NA,"Other","2010"
"140","fio_scripts","khailey","2012-07-25","2015-01-20",63,24,NA,"Other","2012"
"141","jasp-desktop","jasp-stats","2013-06-01","2015-08-31",63,34,NA,"Other","2013"
"142","ggbiplot","vqv","2011-10-23","2015-07-17",63,36,NA,"Other","2011"
"143","facebook-data-mining","datamgmt","2012-06-03","2012-06-14",62,47,NA,"Other","2012"
"144","sparkline","htmlwidgets","2014-07-18","2015-06-10",62,15,NA,"Other","2014"
"145","pryr","hadley","2013-01-07","2015-06-22",62,26,"2015-06-20","CRAN","2013"
"146","shinyBS","ebailey78","2014-01-21","2015-04-28",62,18,"2015-03-31","CRAN","2014"
"147","lambda.r","zatonovo","2012-07-18","2015-03-20",62,6,"2015-03-20","CRAN","2012"
"148","tiq-test","mlsecproject","2014-03-30","2015-06-17",62,16,NA,"Other","2014"
"149","cowsay","sckott","2013-10-11","2015-06-18",61,17,NA,"Other","2013"
"150","r_recommendation_system","johnmyleswhite","2010-10-07","2010-11-26",61,33,NA,"Other","2010"
"151","waffle","hrbrmstr","2015-03-18","2015-06-15",61,9,"2015-03-23","CRAN","2015"
"152","bigrf","aloysius-lim","2013-01-31","2015-01-18",60,19,"2014-05-16","CRAN","2013"
"153","rredis","bwlewis","2010-01-26","2015-08-06",60,18,"2015-07-05","CRAN","2010"
"154","shinyjs","daattali","2015-01-26","2015-08-25",60,8,"2015-08-13","CRAN","2015"
"155","houseofcunha","nazareno","2015-05-30","2015-08-30",60,7,NA,"Other","2015"
"156","openxlsx","awalker89","2014-04-25","2015-08-29",60,15,"2015-07-03","CRAN","2014"
"157","pixiedust","nutterb","2015-07-23","2015-09-01",59,4,"2015-08-03","CRAN","2015"
"158","FootballData","jokecamp","2013-12-15","2015-09-01",59,34,NA,"Other","2013"
"159","medley","mewo2","2013-01-20","2013-01-20",58,11,NA,"Other","2013"
"160","taxize","ropensci","2011-05-19","2015-08-26",58,17,"2015-08-07","CRAN","2011"
"161","edX-Learning-From-Data-Solutions","kirbs-","2013-10-07","2014-01-15",57,50,NA,"Other","2013"
"162","Latent-Factor-Models","beechung","2011-10-14","2012-02-29",57,42,NA,"Other","2011"
"163","rDrop","karthik","2012-03-01","2015-04-23",56,17,NA,"Other","2012"
"164","rnaseq_tutorial","griffithlab","2014-07-31","2015-07-31",56,32,NA,"Other","2014"
"165","pitchRx","cpsievert","2012-08-06","2015-07-14",55,9,"2015-04-04","CRAN","2012"
"166","JAGSExamples","johnmyleswhite","2012-02-10","2012-04-26",55,15,NA,"Other","2012"
"167","elastic","ropensci","2013-11-14","2015-08-27",55,12,"2015-07-03","CRAN","2013"
"168","pystr","nicolewhite","2015-07-13","2015-08-06",55,2,"2015-07-14","CRAN","2015"
"169","osd-building-footprints","Chicago","2013-02-07","2015-08-15",54,16,NA,"Other","2013"
"170","home","grettke","2014-06-17","2015-06-21",54,8,NA,"Other","2014"
"171","swirl_OLD","ncarchedi","2013-06-24","2014-01-21",54,24,NA,"Other","2013"
"172","UnidecodeR","rich-iannone","2014-04-18","2015-04-27",53,5,NA,"Other","2014"
"173","blenditbayes","woobe","2013-06-17","2014-09-19",53,59,NA,"Other","2013"
"174","pride","chrisnager","2015-06-29","2015-06-29",53,1,NA,"Other","2015"
"175","circlize","jokergoo","2013-04-18","2015-08-18",52,11,"2015-08-19","CRAN","2013"
"176","rRack","jeffreyhorner","2011-02-15","2012-01-12",52,2,NA,"Other","2011"
"177","RSocrata","Chicago","2013-09-16","2015-07-25",52,29,"2015-07-13","CRAN","2013"
"178","r-python","hadley","2013-11-26","2013-11-30",52,11,NA,"Other","2013"
"179","ganalytics","jdeboer","2013-05-25","2015-09-01",52,25,NA,"Other","2013"
"180","corrplot","taiyun","2011-12-04","2015-06-25",51,18,"2013-10-15","CRAN","2011"
"181","animation","yihui","2010-11-16","2015-08-16",51,32,"2015-08-16","CRAN","2010"
"182","reprex","jennybc","2015-08-25","2015-08-26",51,3,NA,"Other","2015"
"183","R-Websockets","rstudio","2011-04-17","2014-08-24",50,25,NA,"Other","2011"
"184","art-r-translation","cosname","2013-06-05","2014-07-12",50,74,NA,"Other","2013"
"185","lavaan","yrosseel","2011-04-27","2015-09-01",50,14,"2015-04-06","CRAN","2011"
"186","ShinyEd","ShinyEd","2013-11-18","2015-01-21",49,64,NA,"Other","2013"
"187","quandl-r","quandl","2013-03-01","2015-08-26",49,27,NA,"Other","2013"
