"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"297","rgbif","ropensci","2011-08-26","2015-07-31",34,14,"2015-07-24","CRAN","2011"
"298","R4CouchDB","wactbprot","2009-08-09","2015-06-02",34,5,"2015-02-16","CRAN","2009"
"299","plyrmr","RevolutionAnalytics","2013-07-17","2015-03-25",34,28,NA,"Other","2013"
"300","explainr","hilaryparker","2015-03-26","2015-07-08",34,9,NA,"Other","2015"
"301","cartodb-r","Vizzuality","2012-05-01","2015-04-06",34,26,NA,"Other","2012"
"302","ggmcmc","xfim","2012-10-17","2015-07-29",34,14,"2015-07-29","CRAN","2012"
"303","SciDBR","Paradigm4","2013-03-06","2015-08-28",34,9,NA,"Other","2013"
"304","rfortraders","hgeorgako","2015-03-11","2015-08-26",34,30,NA,"Other","2015"
"305","ggdendro","andrie","2011-08-06","2015-08-05",33,5,"2014-09-29","CRAN","2011"
"306","ggRandomForests","ehrlinger","2013-01-04","2015-06-15",33,11,"2015-03-29","CRAN","2013"
"307","smappR","SMAPPNYU","2014-02-22","2015-08-22",33,23,NA,"Other","2014"
"308","influxdb-r","influxdb","2013-11-14","2015-07-23",33,15,NA,"Other","2013"
"309","MTurkR","leeper","2013-06-09","2015-07-26",33,10,"2015-05-23","CRAN","2013"
"310","Data-Mining-With-R","chengjun","2011-12-03","2012-07-14",33,46,NA,"Other","2011"
"311","shiny-dashboard","reinholdsson","2013-03-30","2013-05-04",33,20,NA,"Other","2013"
"312","ga-dashboard-demo","MarkEdmondson1234","2015-07-12","2015-07-19",33,10,NA,"Other","2015"
"313","ggtree","GuangchuangYu","2014-12-03","2015-09-01",33,6,NA,"Other","2014"
"314","bayesian_nonparametrics","johnmyleswhite","2012-06-17","2015-05-06",32,11,NA,"Other","2012"
"315","rHighcharts","metagraf","2012-12-08","2013-04-29",32,17,NA,"Other","2012"
"316","rapport","Rapporter","2011-12-30","2014-12-16",32,11,"2013-05-08","CRAN","2011"
"317","Rlinkedin","mpiccirilli","2015-01-02","2015-06-09",32,18,"2015-05-04","CRAN","2015"
"318","Coursera-R-Programming","Xiaodan","2014-04-18","2015-02-01",32,210,NA,"Other","2014"
"319","mailR","rpremraj","2014-02-28","2015-07-06",32,11,"2015-01-14","CRAN","2014"
"320","Ada","MansMeg","2014-05-21","2014-08-26",32,5,NA,"Other","2014"
"321","runr","yihui","2013-07-23","2015-06-09",32,8,NA,"Other","2013"
"322","stringdist","markvanderloo","2013-01-16","2015-08-21",32,5,"2015-08-21","CRAN","2013"
"323","futile.logger","zatonovo","2011-10-22","2015-04-19",31,10,"2015-04-20","CRAN","2011"
"324","ShinyDash","trestletech","2013-05-30","2013-08-26",31,11,NA,"Other","2013"
"325","rdat","ropensci","2014-02-06","2015-07-04",31,4,NA,"Other","2014"
"326","rOpenSci","ropensci","2011-11-18","2012-03-21",31,1,NA,"Other","2011"
"327","osd-pedway-routes","Chicago","2013-02-07","2015-08-03",31,23,NA,"Other","2013"
"328","relenium","LluisRamon","2013-07-05","2014-08-21",31,4,NA,"Other","2013"
"329","ngsTools","mfumagalli","2014-01-06","2015-08-16",31,11,NA,"Other","2014"
"330","quickmapr","jhollist","2014-09-01","2015-08-27",31,5,NA,"Other","2014"
"331","devium","dgrapov","2013-01-02","2014-11-20",30,27,NA,"Other","2013"
"332","deepr","woobe","2014-07-15","2015-05-04",30,8,NA,"Other","2014"
"333","NBAdata","Fossj117","2013-12-09","2014-07-15",30,24,NA,"Other","2013"
"334","GettingAndCleaningData","benjamin-chan","2014-04-08","2014-05-02",30,196,NA,"Other","2014"
"335","rVega","metagraf","2013-04-03","2013-04-10",30,8,NA,"Other","2013"
"336","babynames","hadley","2014-05-27","2015-06-05",30,14,"2014-07-22","CRAN","2014"
"337","glmer2stan","rmcelreath","2013-03-07","2014-02-27",30,3,NA,"Other","2013"
"338","oce","dankelley","2010-03-19","2015-09-01",30,8,"2015-05-22","CRAN","2010"
"339","data-housing-crisis","hadley","2009-05-14","2010-04-14",29,6,NA,"Other","2009"
"340","drat","eddelbuettel","2015-02-01","2015-08-29",29,27,"2015-08-08","CRAN","2015"
"341","shiny-d3-showreel","timelyportfolio","2012-12-10","2012-12-10",29,15,NA,"Other","2012"
"342","mosaic","ProjectMOSAIC","2012-01-11","2015-08-07",29,10,"2015-05-22","CRAN","2012"
"343","circleplot","mjwestgate","2014-10-08","2015-07-31",29,3,NA,"Other","2014"
"344","crayon","gaborcsardi","2014-09-22","2015-08-13",29,4,"2015-07-13","CRAN","2014"
"345","rmini","yihui","2012-09-12","2015-04-26",29,17,NA,"Other","2012"
"346","viridis","sjmgarnier","2015-07-16","2015-08-17",29,6,"2015-07-19","CRAN","2015"
"347","fulltext","ropensci","2014-05-29","2015-09-01",29,7,"2015-08-06","CRAN","2014"
"348","Kaggle-AmazonChallenge2013","owenzhang","2013-10-09","2013-10-09",28,39,NA,"Other","2013"
"349","gap-statistic","echen","2010-11-30","2011-02-17",28,10,NA,"Other","2010"
"350","PerfModels","brendangregg","2012-05-18","2014-12-05",28,3,NA,"Other","2012"
"351","poweRlaw","csgillespie","2012-12-03","2015-08-17",28,14,"2015-08-11","CRAN","2012"
"352","distribution_diagrams","rasmusab","2012-10-14","2014-11-24",28,10,NA,"Other","2012"
"353","SplitR","rich-iannone","2013-12-05","2015-01-24",28,2,NA,"Other","2013"
"354","rbundler","opower","2012-08-16","2015-03-27",28,8,"2014-05-08","CRAN","2012"
"355","statebins","hrbrmstr","2014-08-26","2015-01-30",28,4,"2014-08-27","CRAN","2014"
"356","Rllvm","duncantl","2012-04-01","2015-08-23",28,6,NA,"Other","2012"
"357","RDruid","metamx","2013-02-15","2015-06-04",28,7,NA,"Other","2013"
"358","noamtools","noamross","2013-05-02","2015-08-20",28,13,NA,"Other","2013"
"359","cxxr","cxxr-devel","2014-06-07","2015-08-31",28,11,NA,"Other","2014"
"360","Noise","ManzoorElahi","2014-12-20","2014-12-20",27,8,NA,"Other","2014"
"361","RExRepos","dwoll","2013-02-03","2015-02-15",27,21,NA,"Other","2013"
"362","r-on-github","hadley","2013-07-25","2013-10-30",27,9,NA,"Other","2013"
"363","timeline","jbryer","2013-05-02","2015-05-17",27,11,"2013-05-09","CRAN","2013"
"364","myRproj","qxde01","2013-05-11","2014-01-21",27,25,NA,"Other","2013"
"365","MEFM-package","robjhyndman","2013-11-07","2015-05-21",27,15,NA,"Other","2013"
"366","pullreqs","gousiosg","2012-07-10","2015-07-03",27,13,NA,"Other","2012"
"367","swirlify","swirldev","2014-03-07","2015-08-20",27,31,NA,"Other","2014"
"368","RTikZDevice","Sharpie","2009-05-16","2012-07-15",27,16,NA,"Other","2009"
"369","dplyr_in_a_nutshell","trinker","2014-01-24","2014-10-25",27,5,NA,"Other","2014"
"370","shinyData","yindeng","2014-12-30","2015-03-26",27,9,NA,"Other","2014"
"371","kaggle-allstate","justmarkham","2014-05-05","2014-05-23",27,54,NA,"Other","2014"
"372","Rkoans","DASpringate","2013-05-23","2015-08-29",27,10,NA,"Other","2013"
"373","rsunlight","rOpenGov","2011-12-18","2015-08-11",27,9,"2015-07-01","CRAN","2011"
"374","social-media-workshop","pablobarbera","2015-01-31","2015-02-17",27,11,NA,"Other","2015"
"375","anomalous-acm","robjhyndman","2015-05-12","2015-06-02",27,5,NA,"Other","2015"
"376","gmailr","jimhester","2014-07-09","2015-04-24",27,8,"2014-12-04","CRAN","2014"
"377","rbc","lgatto","2013-12-31","2014-11-09",26,16,NA,"Other","2013"
"378","RODProt","QBRC","2013-04-01","2014-01-07",26,1,NA,"Other","2013"
"379","churn201","talentanalytics","2014-02-19","2014-11-02",26,34,NA,"Other","2014"
"380","xlconnect","miraisolutions","2013-02-09","2015-07-28",26,9,NA,"Other","2013"
"381","Rdocumentation","Data-Camp","2013-12-28","2013-12-28",26,34,NA,"Other","2013"
"382","R-Storm","allenday","2012-08-16","2015-05-17",26,11,NA,"Other","2012"
"383","ShinyApps","mwaskom","2013-10-16","2013-11-17",26,9,NA,"Other","2013"
"384","FeatureHashing","wush978","2014-07-31","2015-08-24",26,15,"2015-03-30","CRAN","2014"
"385","plotflow","trinker","2013-01-17","2015-03-30",26,3,NA,"Other","2013"
"386","codebox","bobthecat","2011-04-06","2013-09-16",26,8,NA,"Other","2011"
"387","ggphylo","gjuggler","2012-02-13","2012-10-03",26,1,NA,"Other","2012"
"388","db.r","yhat","2014-11-07","2014-12-17",26,2,"2014-12-17","CRAN","2014"
"389","internetarchive","ropensci","2015-02-11","2015-03-24",26,0,"2015-03-25","CRAN","2015"
"390","log4r","johnmyleswhite","2010-08-25","2014-10-06",26,7,"2014-09-29","CRAN","2010"
"391","rpushbullet","eddelbuettel","2014-05-24","2015-06-20",26,9,NA,"Other","2014"
"392","GoogleGenomics","Bioconductor","2014-04-29","2015-07-15",26,18,NA,"Other","2014"
"393","dataRetrieval","USGS-R","2013-01-14","2015-08-14",26,15,"2015-08-14","CRAN","2013"
"394","Miscellaneous-R-Code","mclark--","2013-10-31","2015-08-02",26,15,NA,"Other","2013"
"395","docxtractr","hrbrmstr","2015-08-24","2015-08-29",26,4,"2015-08-29","CRAN","2015"
"396","ggplot2bdc","briandconnelly","2014-04-23","2015-02-28",25,1,NA,"Other","2014"
"397","Rdym","wrathematics","2014-10-24","2015-07-07",25,2,NA,"Other","2014"
"398","StatOfMind","tlfvincent","2014-01-26","2015-07-18",25,29,NA,"Other","2014"
"399","opentsdbr","holstius","2013-02-02","2015-08-26",25,11,NA,"Other","2013"
"400","papaja","crsh","2014-07-20","2015-09-01",25,11,NA,"Other","2014"
"401","rlp","yihui","2014-12-29","2014-12-30",25,0,NA,"Other","2014"
"402","cn","yihui","2012-02-04","2015-08-25",25,49,NA,"Other","2012"
"403","RPresto","prestodb","2015-03-18","2015-07-22",25,2,NA,"Other","2015"
"404","spocc","ropensci","2013-09-05","2015-08-05",25,12,"2015-07-04","CRAN","2013"
"405","nozzle","parklab","2013-01-02","2015-07-17",25,10,NA,"Other","2013"
"406","testCoverage","MangoTheCat","2014-09-13","2014-10-02",25,4,NA,"Other","2014"
"407","genomation","BIMSBbioinfo","2011-07-01","2015-08-27",25,12,NA,"Other","2011"
"408","sentiment_analysis","abromberg","2012-12-31","2013-02-14",25,40,NA,"Other","2012"
"409","data-science-your-way","jadianes","2015-07-08","2015-08-31",25,7,NA,"Other","2015"
"410","theme_fivethirtyeight","alex23lemm","2014-07-29","2014-08-04",24,7,NA,"Other","2014"
"411","rbm","zachmayer","2014-01-22","2015-05-04",24,7,NA,"Other","2014"
"412","WikipediR","Ironholds","2014-03-30","2015-06-12",24,5,"2015-05-18","CRAN","2014"
"413","DSTrading","IlyaKipnis","2014-04-03","2014-08-11",24,34,NA,"Other","2014"
"414","ggvis-maps","hrbrmstr","2014-12-29","2014-12-29",24,16,NA,"Other","2014"
"415","Sushi","dphansti","2014-02-19","2015-05-07",24,8,NA,"Other","2014"
"416","dpmr","christophergandrud","2014-08-03","2015-07-05",24,5,"2015-05-22","CRAN","2014"
"417","superzip","jcheng5","2013-12-17","2015-01-30",24,26,NA,"Other","2013"
"418","chartist","yutannihilation","2015-01-12","2015-03-22",24,3,NA,"Other","2015"
"419","rsdmx","opensdmx","2013-06-12","2015-08-31",24,14,"2015-07-14","CRAN","2013"
"420","rWBclimate","ropensci","2013-03-06","2015-04-05",24,3,"2014-04-19","CRAN","2013"
"421","Twitter-Congress","drewconway","2011-08-03","2011-09-13",24,6,NA,"Other","2011"
"422","rsmith","hadley","2014-03-13","2014-08-22",24,5,NA,"Other","2014"
"423","RHIPE","tesseradata","2013-11-18","2015-05-28",24,19,NA,"Other","2013"
"424","sfhousing","hadley","2008-10-10","2009-09-29",24,7,NA,"Other","2008"
"425","sqldf","ggrothendieck","2015-03-13","2015-03-25",24,15,"2014-11-07","CRAN","2015"
"426","tabplot","mtennekes","2013-02-22","2015-07-27",24,1,"2014-02-24","CRAN","2013"
"427","streaming-simulations","echen","2012-12-23","2012-12-25",24,1,NA,"Other","2012"
"428","printr","yihui","2014-04-26","2015-04-28",24,8,NA,"Other","2014"
"429","recharts","yihui","2015-04-26","2015-08-17",24,13,NA,"Other","2015"
"430","my-r-code","xccds","2012-04-29","2013-06-07",23,21,NA,"Other","2012"
"431","qtl","kbroman","2009-02-12","2015-08-24",23,18,"2015-08-25","CRAN","2009"
"432","ggExtra","daattali","2015-03-25","2015-08-19",23,4,"2015-07-13","CRAN","2015"
"433","stock_crawler","jincheng9","2014-09-26","2014-09-29",23,13,NA,"Other","2014"
"434","BayesFactor","richarddmorey","2013-05-27","2015-08-18",23,11,"2015-03-20","CRAN","2013"
"435","sentiment","timjurka","2012-11-26","2012-11-26",23,31,NA,"Other","2012"
"436","pgfSweave","cameronbracken","2009-06-22","2013-04-10",23,6,NA,"Other","2009"
"437","template","cboettig","2014-05-05","2015-06-25",23,9,NA,"Other","2014"
"438","icwsm-14-tutorial","eytan","2014-04-19","2014-06-20",23,6,NA,"Other","2014"
"439","colourlovers","leeper","2014-01-24","2015-07-02",23,0,"2014-12-20","CRAN","2014"
"440","user2014.github.io","user2014","2013-04-16","2015-01-14",23,27,NA,"Other","2013"
"441","shinyStore","trestletech","2014-09-10","2014-09-26",23,1,NA,"Other","2014"
"442","edarf","zmjones","2014-09-04","2015-07-13",23,4,NA,"Other","2014"
"443","anomalous","robjhyndman","2015-05-12","2015-06-02",23,12,NA,"Other","2015"
"444","codeface","siemens","2013-10-16","2015-08-31",23,12,NA,"Other","2013"
"445","countrycode","vincentarelbundock","2011-08-17","2015-08-18",23,13,"2014-12-29","CRAN","2011"
"446","ggbio","tengfei","2011-09-06","2014-10-21",23,7,NA,"Other","2011"
"447","Shiny-Demos","EconometricsBySimulation","2013-11-18","2014-10-03",23,29,NA,"Other","2013"
"448","samatha","DASpringate","2013-04-24","2013-12-20",22,3,NA,"Other","2013"
"449","names","hilaryparker","2013-01-30","2014-02-21",22,3,NA,"Other","2013"
"450","memoise","hadley","2010-11-11","2014-05-01",22,13,"2014-04-22","CRAN","2010"
"451","bookdown","hadley","2014-05-13","2015-08-07",22,11,NA,"Other","2014"
"452","rfigshare","ropensci","2012-06-13","2015-06-14",22,4,"2015-06-15","CRAN","2012"
"453","USAboundaries","ropensci","2014-10-09","2015-08-22",22,3,"2014-12-24","CRAN","2014"
"454","rSynapseClient","Sage-Bionetworks","2012-01-28","2015-07-24",22,12,NA,"Other","2012"
"455","gh-emotional-commits","yaph","2012-05-16","2014-10-11",22,4,NA,"Other","2012"
"456","DataCombine","christophergandrud","2013-03-10","2015-07-27",22,9,"2015-02-11","CRAN","2013"
"457","openapc-de","OpenAPC","2014-06-17","2015-08-24",22,22,NA,"Other","2014"
"458","rfishbase","ropensci","2011-11-18","2015-08-31",22,10,"2015-08-15","CRAN","2011"
"459","mirt","philchalmers","2012-02-03","2015-09-01",22,15,"2015-06-16","CRAN","2012"
"460","profr","hadley","2008-04-20","2015-08-31",22,5,"2014-04-22","CRAN","2008"
"461","sciclone","genome","2013-02-14","2015-02-16",22,16,NA,"Other","2013"
"462","ggShinyApp","bchartoff","2014-10-08","2015-01-30",22,11,NA,"Other","2014"
"463","TextRegression","johnmyleswhite","2011-10-30","2012-05-13",22,7,NA,"Other","2011"
"464","StarWars","gastonstat","2012-07-11","2014-04-11",22,15,NA,"Other","2012"
"465","r-gotchas","mikelove","2014-05-28","2015-07-31",22,3,NA,"Other","2014"
"466","meetup","UVa-R-Users-Group","2014-09-05","2015-04-23",22,25,NA,"Other","2014"
"467","parallelMap","berndbischl","2013-08-13","2015-06-09",22,2,"2015-06-10","CRAN","2013"
"468","matrixStats","HenrikBengtsson","2014-06-14","2015-08-19",22,10,"2015-06-24","CRAN","2014"
"469","intRo","gammarama","2014-02-25","2015-08-12",22,12,NA,"Other","2014"
"470","misc","petewerner","2012-04-13","2015-05-18",22,17,NA,"Other","2012"
"471","sandboxR","Rapporter","2012-04-02","2014-07-27",22,9,NA,"Other","2012"
"472","RSkittleBrewer","alyssafrazee","2014-03-06","2014-07-31",22,8,NA,"Other","2014"
"473","nifffty","hrbrmstr","2015-06-19","2015-06-19",22,3,NA,"Other","2015"
"474","talk-201210-data-deluge","jeffreybreen","2012-10-01","2012-10-02",21,9,NA,"Other","2012"
"475","roxygen3","hadley","2012-08-27","2013-11-30",21,6,NA,"Other","2012"
"476","rblocks","ramnathv","2014-03-14","2014-03-28",21,6,NA,"Other","2014"
"477","predcomps","dchudz","2013-11-09","2015-06-14",21,8,NA,"Other","2013"
"478","workshop","pablobarbera","2013-03-24","2013-03-25",21,38,NA,"Other","2013"
"479","hotnews","mamhamed","2014-04-11","2015-07-20",21,3,NA,"Other","2014"
"480","rphylopic","sckott","2013-04-07","2015-08-07",21,4,NA,"Other","2013"
"481","BayesBARUG","dlinzer","2013-11-14","2013-11-14",21,18,NA,"Other","2013"
"482","msd2015","jhofman","2014-12-17","2015-06-17",21,40,NA,"Other","2014"
"483","seasonal","christophsax","2013-09-17","2015-08-14",21,11,"2015-08-14","CRAN","2013"
"484","diversity-dashboard","bufferapp","2015-05-22","2015-08-28",21,4,NA,"Other","2015"
"485","MachineLearningLectures","smc77","2011-09-28","2014-02-22",21,9,NA,"Other","2011"
"486","historydata","ropensci","2014-09-22","2015-06-05",21,8,"2014-12-24","CRAN","2014"
"487","RAppArmor","jeroenooms","2012-04-26","2014-08-07",21,7,"2013-12-18","CRAN","2012"
"488","R_Google_Analytics","IronistM","2013-03-07","2013-05-10",21,14,NA,"Other","2013"
"489","brisk","bcaffo","2012-06-20","2014-06-21",21,14,NA,"Other","2012"
"490","summarytools","dcomtois","2014-11-22","2015-08-14",21,3,"2015-08-05","CRAN","2014"
"491","Rforecastio","hrbrmstr","2013-09-08","2015-08-21",21,13,NA,"Other","2013"
"492","evaluate","hadley","2008-05-18","2015-08-21",20,9,"2015-08-13","CRAN","2008"
"493","Zelig","IQSS","2013-12-05","2015-05-18",20,8,"2013-09-21","CRAN","2013"
"494","getting-started-bigquery","googlegenomics","2014-09-18","2015-07-07",20,8,NA,"Other","2014"
"495","NeuralNetTools","fawda123","2014-10-07","2015-08-26",20,4,"2015-04-27","CRAN","2014"
"496","elasticsearch","tomesch","2014-10-20","2015-01-21",20,1,NA,"Other","2014"
"497","cranlogs","metacran","2014-10-30","2015-07-27",20,0,"2015-05-07","CRAN","2014"
"498","darch","maddin79","2013-07-26","2015-08-28",20,8,"2014-03-16","CRAN","2013"
"499","RForcecom","hiratake55","2012-02-16","2015-08-31",20,9,"2013-10-23","CRAN","2012"
"500","sentimentr","trinker","2015-08-16","2015-08-26",20,1,NA,"Other","2015"
"501","Twitter-Backchannel-Analysis","psychemedia","2012-02-01","2012-11-10",20,3,NA,"Other","2012"
"502","ez","mike-lawrence","2011-02-04","2013-09-13",20,10,"2013-09-13","CRAN","2011"
"503","hows-business","open-city","2012-07-20","2015-07-07",20,12,NA,"Other","2012"
"504","gmailR","trinker","2012-08-30","2014-09-12",20,11,NA,"Other","2012"
"505","R-poll-bias","gka","2013-09-20","2013-09-21",20,6,NA,"Other","2013"
"506","helpr","hadley","2009-11-18","2012-04-09",20,5,NA,"Other","2009"
"507","student-early-warning","dssg","2014-08-20","2015-01-12",20,16,NA,"Other","2014"
"508","Blog-Reference-Functions","tonybreyal","2011-11-11","2012-01-06",20,33,NA,"Other","2011"
"509","googleCharts","jcheng5","2013-07-01","2015-04-09",20,44,NA,"Other","2013"
"510","poirot","ramnathv","2012-06-10","2013-05-16",20,7,NA,"Other","2012"
"511","loggr","smbache","2015-04-12","2015-07-07",20,1,NA,"Other","2015"
"512","rbokeh","ramnathv","2014-12-12","2014-12-16",20,3,NA,"Other","2014"
"513","bioc-refcard","mikelove","2012-12-03","2015-08-04",20,28,NA,"Other","2012"
"514","GLM","bwlewis","2013-07-11","2015-06-03",20,2,NA,"Other","2013"
"515","data.tree","gluc","2015-02-20","2015-09-01",20,2,"2015-04-10","CRAN","2015"
"516","15-state-of-the-union","hadley","2015-08-09","2015-08-10",20,4,NA,"Other","2015"
"517","r-sample-tools","R-ArcGIS","2015-07-12","2015-08-28",20,3,NA,"Other","2015"
"518","datamicroarray","ramhiser","2010-10-06","2015-01-06",19,12,NA,"Other","2010"
"519","amazon_employee_access_2013","diefimov","2013-08-01","2013-08-04",19,18,NA,"Other","2013"
"520","tracestack","dgrtwo","2015-04-25","2015-04-29",19,1,NA,"Other","2015"
"521","psData","rOpenGov","2014-01-30","2015-07-28",19,6,"2014-02-23","CRAN","2014"
"522","snippr","dgrtwo","2015-04-14","2015-04-14",19,0,NA,"Other","2015"
"523","netintel","hrbrmstr","2013-02-08","2014-08-30",19,7,NA,"Other","2013"
"524","RLLVMCompile","duncantl","2012-04-01","2015-08-23",19,1,NA,"Other","2012"
"525","shinythemes","rstudio","2014-12-05","2015-03-02",19,9,"2015-03-03","CRAN","2014"
"526","slackr","hrbrmstr","2014-09-04","2015-08-17",19,11,"2014-09-08","CRAN","2014"
"527","fantasy-football","seanjtaylor","2013-08-16","2013-08-16",19,2,NA,"Other","2013"
"528","gridextra","baptiste","2012-01-08","2015-08-26",19,5,NA,"Other","2012"
"529","rjstat","ajschumacher","2013-10-25","2015-08-27",19,3,"2015-05-25","CRAN","2013"
"530","kaggle-titanic","mattdelhey","2012-12-16","2013-03-22",19,21,NA,"Other","2012"
"531","plyrToDplyr","jimhester","2014-05-22","2014-05-22",19,9,NA,"Other","2014"
"532","polyester","alyssafrazee","2014-05-01","2015-08-13",19,11,NA,"Other","2014"
"533","PuffR","rich-iannone","2013-10-10","2015-01-14",19,5,NA,"Other","2013"
"534","lyx","yihui","2011-11-09","2015-01-18",19,9,NA,"Other","2011"
"535","ExploreModels","WinVector","2014-12-19","2014-12-19",19,8,NA,"Other","2014"
"536","metacran","metacran","2014-03-18","2015-07-15",19,0,NA,"Other","2014"
"537","R-toolbox-py","Esri","2013-02-27","2015-08-03",19,18,NA,"Other","2013"
"538","pROC","xrobin","2011-09-13","2015-08-27",19,1,"2015-05-05","CRAN","2011"
"539","web-analytics-dashboard","mcpasin","2014-12-20","2015-08-08",19,15,NA,"Other","2014"
"540","jammr","Ironholds","2015-05-25","2015-06-26",19,1,NA,"Other","2015"
"541","openair","davidcarslaw","2015-01-15","2015-08-28",19,4,"2015-07-23","CRAN","2015"
"542","plotly-shiny","chriddyp","2015-02-13","2015-05-20",19,33,NA,"Other","2015"
"543","iqfeed","bwlewis","2010-04-22","2015-07-27",19,9,NA,"Other","2010"
"544","R2DOCX","davidgohel","2013-05-31","2015-02-05",19,8,NA,"Other","2013"
"545","RGoogleDocs","duncantl","2012-04-03","2015-03-18",18,7,NA,"Other","2012"
"546","ShinyDash-Sample","trestletech","2013-05-30","2013-08-26",18,12,NA,"Other","2013"
"547","fun","yihui","2010-12-03","2014-09-26",18,13,"2011-08-12","CRAN","2010"
"548","Presidential-Semantic-Analysis","stathack","2012-10-07","2012-10-24",18,8,NA,"Other","2012"
"549","pairsD3","garthtarr","2015-03-26","2015-07-17",18,4,"2015-04-28","CRAN","2015"
"550","plosOpenR","lagotto","2012-07-05","2013-06-17",18,6,NA,"Other","2012"
"551","RAdwords","jburkhardt","2014-04-11","2015-08-31",18,15,"2015-08-07","CRAN","2014"
"552","swmap","davidbrae","2014-06-20","2015-08-15",18,13,NA,"Other","2014"
"553","TTR","joshuaulrich","2014-12-14","2015-07-10",18,12,"2015-07-10","CRAN","2014"
"554","sleuth","pachterlab","2015-02-13","2015-09-01",18,4,NA,"Other","2015"
"555","RDSTK","rtelmore","2011-05-01","2013-10-15",18,10,"2013-05-15","CRAN","2011"
"556","travis-examples","csgillespie","2013-11-05","2014-05-16",18,4,NA,"Other","2013"
"557","R-videos","campbwa","2014-08-15","2015-01-14",18,25,NA,"Other","2014"
"558","twitter-sentiment-analysis","mjhea0","2012-12-18","2013-07-25",18,64,NA,"Other","2012"
"559","DataTaipei","TaipeiRHackers","2015-05-09","2015-06-08",18,10,NA,"Other","2015"
"560","xslt","hrbrmstr","2015-07-08","2015-07-09",18,1,NA,"Other","2015"
"561","data-analysis-coursera","ahawker","2013-01-09","2013-01-29",18,54,NA,"Other","2013"
"562","Text-Mining-Weak-Signals","arc12","2011-06-30","2012-11-06",18,12,NA,"Other","2011"
"563","yhat-examples","yhat","2013-08-25","2014-06-11",18,14,NA,"Other","2013"
"564","manuscriptPackage","jhollist","2014-09-15","2014-11-24",18,4,NA,"Other","2014"
"565","MetaMapR","dgrapov","2013-08-20","2015-05-19",18,17,NA,"Other","2013"
"566","tmap","mtennekes","2013-11-25","2015-09-01",18,5,"2015-05-28","CRAN","2013"
"567","rexamples","kmiddleton","2011-06-13","2013-06-11",17,10,NA,"Other","2011"
"568","R-Notes","Diego-F-Pereira","2013-11-06","2014-05-31",17,128,NA,"Other","2013"
"569","rpubmed","rOpenHealth","2013-01-27","2014-03-06",17,9,NA,"Other","2013"
"570","blog-walking-the-beat","bayesimpact","2014-08-11","2014-08-11",17,2,NA,"Other","2014"
"571","derfinder","lcolladotor","2013-07-18","2015-07-10",17,11,NA,"Other","2013"
"572","readstata13","sjewo","2014-08-26","2015-08-24",17,3,"2015-08-07","CRAN","2014"
"573","lego","seankross","2014-08-21","2014-10-14",17,7,NA,"Other","2014"
"574","rna-seq-diff-exprn","olgabot","2012-05-18","2012-11-27",17,12,NA,"Other","2012"
"575","Achilles","OHDSI","2014-04-03","2015-08-10",17,16,NA,"Other","2014"
"576","rastervis","oscarperpinan","2013-07-27","2015-08-11",17,6,NA,"Other","2013"
"577","knitron","fhirschmann","2015-01-18","2015-05-21",17,0,NA,"Other","2015"
"578","Coursera-Getting-and-Cleaning-Data","Xiaodan","2014-04-14","2015-02-01",17,191,NA,"Other","2014"
"579","checkmate","mllg","2013-12-27","2015-08-14",17,3,"2015-07-26","CRAN","2013"
"580","coursera-course-statistics_one","boboppie","2012-09-03","2012-10-17",17,14,NA,"Other","2012"
"581","GeospatialLineGraphs","Brideau","2014-07-27","2014-08-12",17,8,NA,"Other","2014"
"582","dlanalysis","brendano","2008-05-30","2011-08-26",17,6,NA,"Other","2008"
"583","rport","adjust","2013-09-30","2014-06-01",17,2,NA,"Other","2013"
"584","meta-analyses","timchurches","2013-03-06","2014-02-20",17,4,NA,"Other","2013"
"585","ggplot-cheatsheet","sefakilic","2014-09-12","2014-11-05",17,23,NA,"Other","2014"
"586","kfigr","mkoohafkan","2014-06-18","2015-07-14",17,4,"2015-07-15","CRAN","2014"
"587","clisymbols","gaborcsardi","2015-04-14","2015-06-07",17,0,"2015-06-08","CRAN","2015"
"588","rr-init","Reproducible-Science-Curriculum","2014-12-10","2014-12-12",17,7,NA,"Other","2014"
"589","secede-2014","hrbrmstr","2014-09-20","2014-09-20",17,5,NA,"Other","2014"
"590","infuser","Bart6114","2015-05-15","2015-05-30",17,3,"2015-05-27","CRAN","2015"
"591","rrdf","egonw","2011-03-22","2015-08-07",17,4,NA,"Other","2011"
"592","GTFS_Explore_Tool","jcwong86","2012-07-16","2012-08-01",17,2,NA,"Other","2012"
"593","musichackathon","mewo2","2012-07-30","2012-07-30",17,10,NA,"Other","2012"
"594","ngsplot","shenlab-sinai","2015-03-30","2015-05-15",17,8,NA,"Other","2015"
"595","R-Reference-Card","jonasstein","2012-01-11","2013-01-11",17,6,NA,"Other","2012"
"596","academia-citations","polynumeral","2015-05-07","2015-08-04",17,6,NA,"Other","2015"
"597","solarplot","stephenturner","2013-10-31","2013-10-31",17,11,NA,"Other","2013"
"598","kaggle-avito","owenzhang","2015-08-16","2015-08-27",17,12,NA,"Other","2015"
"599","IntroToDataScience","EasyD","2014-11-09","2014-11-24",17,21,NA,"Other","2014"
